kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
139,0,15,20,5105,20,47260000,6feae666-633c-4b6b-93f2-72ef205e295b,132,Aim.1nF,uplay,9756,6feae666-633c-4b6b-93f2-72ef205e295b,87,0
115,0,0,20,5098,20,45630000,f6d257b0-38c2-42e0-9625-816f3c672738,363,gurmy.oC,uplay,9340,f6d257b0-38c2-42e0-9625-816f3c672738,88,0
133,0,0,20,5098,20,46490000,f3b35a6d-4a5d-4a36-8d76-87bde25a395e,216,Tazzy.-,uplay,9746,f3b35a6d-4a5d-4a36-8d76-87bde25a395e,89,0
157,0,0,20,5094,20,53690000,6364ebd1-f3b3-4c71-8d83-ff0d49c25b6f,142,Paradox-_Piiu.,uplay,10331,6364ebd1-f3b3-4c71-8d83-ff0d49c25b6f,90,0
178,0,0,20,5088,20,37810000,efc3823d-9393-4f7f-8b11-736bd95a778d,134,rvtz.,uplay,9924,efc3823d-9393-4f7f-8b11-736bd95a778d,91,0
165,0,0,20,5086,20,53880000,be3313d6-d443-4eae-818f-bb7f56837781,317,Godly,uplay,9855,be3313d6-d443-4eae-818f-bb7f56837781,92,1
120,0,20,20,5081,20,48180000,b6fc0b9b-fd32-475e-a9ab-6028f5341d75,298,EV3RYTHiNG.,uplay,9300,b6fc0b9b-fd32-475e-a9ab-6028f5341d75,93,0
168,0,0,20,5081,20,53280000,7f251d69-3d40-4f78-80e2-482b513591df,448,BULLET1.IMT,uplay,9844,7f251d69-3d40-4f78-80e2-482b513591df,94,0
150,0,0,20,5078,20,39810000,9cbade53-7070-43ff-bdcf-c14d93fa66cd,241,Gene_O_Cide,uplay,10501,9cbade53-7070-43ff-bdcf-c14d93fa66cd,95,0
143,0,19,20,5075,20,41360000,8afdf27b-8b04-4d19-8928-98b3af93dcab,245,Dann.-,uplay,9659,8afdf27b-8b04-4d19-8928-98b3af93dcab,96,0
206,0,0,20,5071,20,47510000,851a443b-e7b2-455c-b1bd-16a2a6d0a1ac,134,MomHunter-_,uplay,10321,851a443b-e7b2-455c-b1bd-16a2a6d0a1ac,97,0
113,0,18,20,5067,20,46790000,f690dac6-6386-4cc6-97ad-3410e3ee2ae9,264,Zoinkers.,uplay,9441,f690dac6-6386-4cc6-97ad-3410e3ee2ae9,98,0
127,0,0,20,5060,20,47490000,2b1756ac-8827-41d8-a971-c55b21ab03ed,325,Yeti-DG,uplay,9349,2b1756ac-8827-41d8-a971-c55b21ab03ed,99,1
130,0,18,20,5059,20,46470000,dc800dae-3297-4c07-8897-4c72d7e797c4,303,c.o.b,uplay,9376,dc800dae-3297-4c07-8897-4c72d7e797c4,100,1
175,0,20,0,10071,20,43560000,4503086f-112e-41b6-bdbf-1c682596bab3,402,Sub.Script,uplay,10754,4503086f-112e-41b6-bdbf-1c682596bab3,1,0
144,0,20,0,8089,20,45170000,0dc255fd-a5e0-42d3-b959-60e5237c9e36,264,Ron1n_N,uplay,10683,0dc255fd-a5e0-42d3-b959-60e5237c9e36,2,0
185,0,20,0,7542,20,40710000,c4bdc9d0-9e64-4a70-94e8-42265c9171a0,292,Knuspakeksmauro,uplay,10265,c4bdc9d0-9e64-4a70-94e8-42265c9171a0,3,0
227,14,20,0,7134,20,42010000,809e6002-290a-4cf8-973b-c32da266c7e8,232,Alxous,uplay,10406,809e6002-290a-4cf8-973b-c32da266c7e8,4,0
179,18,20,0,6392,20,48430000,0a713cf5-937c-403a-bb40-c29bb5b99b66,322,J1X.,uplay,10038,0a713cf5-937c-403a-bb40-c29bb5b99b66,5,0
168,0,20,0,6332,20,54040000,6eb110b6-e833-4e84-9d22-8bb13c94fc83,123,rextor.,uplay,10220,6eb110b6-e833-4e84-9d22-8bb13c94fc83,6,0
247,0,20,18,6288,20,63290000,5aa6e5aa-06bb-4e2a-8711-00ab693e285a,124,skiesgg,uplay,10545,5aa6e5aa-06bb-4e2a-8711-00ab693e285a,7,0
188,0,20,3,6274,20,51620000,7cc12492-7e09-4371-a4a9-0fe3b1e4ac57,179,Lvzard,uplay,10021,7cc12492-7e09-4371-a4a9-0fe3b1e4ac57,8,0
123,0,20,0,6239,20,43100000,3cc037a3-06ea-4279-859d-8e97be1685ba,247,DoctorDent,uplay,10157,3cc037a3-06ea-4279-859d-8e97be1685ba,9,0
245,0,20,17,6185,20,38540000,e456d94d-b4d0-4c91-af1b-7d396ecd7e3c,154,ImBehindTheDoor,uplay,10410,e456d94d-b4d0-4c91-af1b-7d396ecd7e3c,10,0
200,0,20,0,6172,20,47680000,95e50f49-8924-477e-815d-5ef315391f9f,333,MoveLikeJagger.,uplay,10537,95e50f49-8924-477e-815d-5ef315391f9f,11,0
142,0,20,0,6133,20,49870000,ef6509ff-e041-433a-bb33-5e74db8d690a,429,Mirenzo-,uplay,9760,ef6509ff-e041-433a-bb33-5e74db8d690a,12,0
248,0,20,20,6104,20,45100000,7d22c702-4f54-41de-931e-83bd3e03ad00,162,Yoki.CMC,uplay,10601,7d22c702-4f54-41de-931e-83bd3e03ad00,13,0
